,n,time,reward,moving action smoothness,smoothness,moving_avg,success_moving_avg
0,1,3.648237943649292,16.621285662434403,16.621285662434403,388.8767001474011,388.8767001474011,0.0
1,2,7.847182989120483,326.0288621347572,171.3250738985958,412.0809106352768,435.28512112315246,0.5
2,3,11.683117151260376,312.646280405038,218.43214273407656,415.00745023251034,420.8605294269774,0.6666666666666666
3,4,15.494787693023682,195.8383116622759,212.7836849661264,425.93155811088224,458.70388174599793,0.6666666666666666
4,5,19.732081413269043,212.29539604313933,212.68602718152897,439.4830451118611,493.6889931157766,0.6666666666666666
5,6,24.1897931098938,193.23946234909832,209.44493304279055,450.47162232521697,505.41450839199643,0.6666666666666666
6,7,28.744853258132935,182.92951928641608,205.6570167918799,455.51663597805975,485.7867178951164,0.6666666666666666
7,8,32.90508723258972,184.99668330310567,203.0744751057831,462.2357227726368,509.2693303346761,0.6666666666666666
8,9,37.05710291862488,217.75360423088563,204.70548945301672,464.9330195347212,486.51139363139674,0.6666666666666666
9,10,41.34368705749512,222.0993391158352,206.4448744192986,465.81834459169005,473.78627010441,0.6666666666666666
10,11,45.610097885131836,180.18217218891155,204.05735603471794,470.58985913682096,518.3050045881296,0.6666666666666666
11,12,49.671783208847046,177.25124466184897,201.8235134203122,474.04737872215156,512.0800941607885,0.6666666666666666
12,13,54.10320067405701,211.51601656362553,202.56909058518247,477.22508096745054,515.3575079110379,0.6666666666666666
13,14,59.092628479003906,250.4163976047514,205.98675537229454,485.2108263197653,589.0255158998582,0.6666666666666666
14,15,63.39684224128723,242.4222505035357,208.41578838104397,494.8984240048752,630.5247915964137,0.6666666666666666
15,16,67.00647377967834,219.9076922408817,209.1340323722838,505.40576976094076,663.0159561019234,0.6666666666666666
16,17,71.90006875991821,185.05942455361466,207.7178789711856,520.54889133478,762.8388365162089,0.6666666666666666
17,18,77.44163846969604,256.2380387518998,210.4134434034475,530.6890487140571,703.0717241617672,0.6666666666666666
18,19,82.39724230766296,224.5288676222714,211.1563604675961,540.275291616385,712.8276638582865,0.6666666666666666
19,20,87.34568548202515,190.13372900662733,210.10522889454768,545.2481203714855,639.7318667183947,0.6666666666666666
20,21,91.72388672828674,179.04364573475095,208.62610588693835,547.6056729027699,594.7567235284582,0.6666666666666666
21,22,96.96206569671631,176.16478136577362,207.15059113597633,551.0748016160559,623.9265045950593,0.6666666666666666
22,23,102.67610120773315,196.81302494545284,206.70113173638833,556.250748814435,670.121587178778,0.6666666666666666
23,24,107.64772605895996,197.86233899054707,206.3328487053116,562.4501843679078,705.0372020977813,0.6666666666666666
24,25,111.50892472267151,251.48669343759798,208.13900249460303,563.3204531358348,584.2069035660834,0.6666666666666666
25,26,115.81768584251404,339.08433533369447,213.1753614499527,561.4216818836557,513.952400579177,0.75
26,27,119.5818829536438,215.42487499375338,213.25867676638975,558.3851457229383,479.43520554428625,0.75
27,28,123.83460330963135,188.0936166317598,212.3599246187244,555.3679217826032,473.90287539355285,0.75
28,29,128.39224910736084,243.89681805034724,213.44740370257347,552.9141706759879,484.20913969076133,0.75
29,30,132.9652705192566,293.62381891825356,216.11995087642944,549.8466518963629,460.88860728723773,0.8
30,31,136.79205989837646,203.22966765015573,215.70413528848513,546.3462072426579,441.332867631506,0.8
31,32,140.54721474647522,200.04718841868467,215.21485569880392,543.2524177732843,447.3449442227073,0.8
32,33,145.1265459060669,393.7376907466133,220.62463857904055,539.8492671621822,430.9484476069147,0.8333333333333334
33,34,148.84401392936707,199.61769195448926,220.00678720773024,537.3460154544982,454.7387091009287,0.8333333333333334
34,35,154.0458526611328,289.76291561880356,221.99981944804662,533.971059600573,419.2225605671104,0.8333333333333334
35,36,158.06903529167175,195.72688036645621,221.2700155846691,532.6733058232855,487.2519236182266,0.8333333333333334
36,37,161.68252754211426,180.64712301166404,220.17209956918248,532.4946502651314,526.0630501715822,0.8333333333333334
37,38,165.22062492370605,204.10076591762984,219.74916973624687,531.3702946680619,489.76913757648805,0.8333333333333334
38,39,168.82285451889038,216.76157641059757,219.67256477917894,530.4511726937128,495.5245376684498,0.8333333333333334
39,40,172.335058927536,180.8442437110502,218.70185675247575,529.8768688639911,507.4790195048509,0.8333333333333334
40,41,176.17155241966248,180.6840426163216,217.77459299305735,529.375042866853,509.30200298133093,0.8333333333333334
41,42,180.01171612739563,177.151022398402,216.80736512175605,527.8563626307854,465.590472952009,0.8333333333333334
42,43,184.03308725357056,207.33858200319645,216.5871608631849,525.3077865929788,418.26759300510327,0.8333333333333334
43,44,187.92922353744507,211.98962945868413,216.48267151308258,523.375580793152,440.2907314006015,0.8333333333333334
44,45,191.67351746559143,199.10938899829324,216.0965985683095,522.2976173798254,474.86722719345113,0.8333333333333334
45,46,195.6725468635559,303.45349164031364,217.99566146117914,520.8160928722317,454.14749003051895,0.8333333333333334
46,47,199.34987616539001,238.29172370917018,218.42749257283853,519.7838491062176,472.3006358695657,0.8333333333333334
47,48,203.41167616844177,243.63721141872682,218.95269504879448,518.7873786880277,471.95326903310445,0.8333333333333334
48,49,207.49203205108643,260.9213357840528,219.8091979209426,518.620123086755,510.5918542256676,0.8333333333333334
