,n,time,reward,moving action smoothness,smoothness,moving_avg,success_moving_avg
0,1,4.54457950592041,-67.10202420913666,-67.10202420913666,73.26855758589569,73.26855758589569,0.0
1,2,6.967970132827759,-87.96026029820436,-77.53114225367051,63.05965474997598,52.85075191405626,0.0
2,3,9.22510027885437,-71.50038791116071,-75.52089080616724,60.63083352104723,55.77319106318972,0.0
3,4,18.668198347091675,-12.581268273333592,-59.78598517295883,98.3766712039162,211.61418425252316,0.0
4,5,22.997924089431763,-80.29486271773584,-63.88776068191423,97.91165734843344,96.05160192650236,0.0
5,6,26.230310916900635,-77.87511563257975,-66.21898650702515,91.74406407043023,60.906097680414135,0.0
6,7,29.252037048339844,-58.106118849949574,-65.06000541315721,90.80905363001442,85.19899098751957,0.0
7,8,34.529884576797485,-61.877679989997915,-64.6622147352623,91.92001717977209,99.6967620280758,0.0
8,9,44.73312759399414,30.08175851000763,-54.13510659689897,107.46561809973478,231.83042545943636,0.0
9,10,50.532050132751465,-34.65601418346854,-52.18719735555593,109.9552810000796,132.3622471031828,0.0
10,11,52.183756589889526,-93.68069927315129,-55.959333893519144,102.54193425107,28.408466760974175,0.0
11,12,55.86022686958313,-65.72958070428629,-56.77352112774974,101.10639125383754,85.31541828428045,0.0
12,13,57.89515471458435,-88.17979419270573,-59.189388286592504,96.78728944256598,44.95806770730725,0.0
13,14,67.57748055458069,-17.998096701973125,-56.24715317340541,105.58512516666032,219.95698957988685,0.0
14,15,75.6016366481781,-37.56338900847497,-55.001568895743375,110.45373062013773,178.61420696882138,0.0
15,16,79.57542753219604,-41.35310263626459,-54.148539754525956,108.8146055587613,84.22772963811488,0.0
16,17,81.61575770378113,-81.45764974624198,-55.75495798933278,104.7292185972973,39.363027213873416,0.0
17,18,93.00129055976868,24.48261901137846,-51.297314822626596,112.01749733070203,235.91823579858223,0.0
18,19,96.88830137252808,-60.87497551759038,-51.80140222762469,110.38068567289632,80.91807583239368,0.0
19,20,99.61685156822205,-68.00658562414654,-52.61166139745079,107.84293085366528,59.625589288275386,0.0
20,21,100.73140025138855,-93.45914356971784,-54.55677959613017,103.37109298399862,13.934335590665427,0.0
21,22,105.18106389045715,-43.67144307184004,-54.0619915722988,103.53194357620158,106.90980601246375,0.0
22,23,106.51082801818848,-95.86772202207142,-55.879632026636735,99.83272459271551,18.44990695602182,0.0
23,24,106.87560534477234,-98.99208688525361,-57.675984312412446,96.02848296330886,8.530925486955946,0.0
24,25,107.73314929008484,-96.88794584258672,-59.24446277361942,92.8607555502912,16.835297637867388,0.0
25,26,136.89602661132812,315.1562404907754,-44.84443572498885,113.57196837746386,631.3522890567806,0.0
26,27,142.202778339386,-66.19632491724715,-45.63524643581323,113.19117751752654,103.29061515915586,0.0
27,28,143.71367192268372,-94.21619639495552,-47.37028036292545,110.03371087125394,24.782111421894,0.0
28,29,145.48945212364197,-90.83467822759853,-48.86905270308659,107.5046712464046,36.69156175062296,0.0
29,30,145.97079038619995,-90.12482500036421,-50.24424511299584,104.39175702938346,14.11724473577016,0.0
30,31,149.26372122764587,-79.1162540184043,-51.17560023897676,103.08239214517901,63.801445619045985,0.0
31,32,151.60232877731323,-78.64735797725406,-52.03409266829793,101.43416032729772,50.33897397297778,0.0
